Image; Model; Series; Yen Price; Release Date; Notes
Mg-strike-iswp-lk.jpg;GAT-X105E Lukas's Strike E + I.W.S.P.;Mobile Suit Gundam SEED Frame Astrays;¥4,500;2008 February;Parts and color variant of MG-096 with the Noir Striker replaced by the IWSP unit from MG-090. Includes display base and Lukas O'Donnell figurine.
MG_Nu_Gundam_Metallic_Coating.jpg;RX-93  Gundam Metallic Coating Version;Mobile Suit Gundam: Char's Counterattack;¥8,000;2008 February;Special metallic color variant of MG-034. Includes water slide decal sheet. Released to commemorate the 20th anniversary of ''Char's Counterattack''.
MG_-_MS-06R-1A_-_Zaku_II_-_Boxart.jpg;MS-06R-1A Zaku II (Black Tri-Stars) Ver.2.0;Mobile Suit Variations;¥4,500;2008 January;Parts and color variant of MG-097,  redesign of MG-020 with improved articulation and proportions. Includes Black Tri-Stars figurine. Water slide decal sheet is sold separately as GD-45.
MGZaku-Kawaguchi.jpg;MS-06J Zaku II Ver.2.0 Katsumi Kawaguchi Produce Version;Mobile Suit Gundam;¥4,000;2008 July;Bandai Hobby Proshop exclusive color variant of MG-097. Includes water slide decal sheet.
Mg-rx-78-2-ver2.jpg;RX-78-2 Gundam Ver.2.0;Mobile Suit Gundam;¥4,200;2008 July;Includes two Amuro Ray figurines and a clear display stand for FF-X7 Core Fighter. Water slide decal sheet is sold separately as GD-52/60. Released to commemorate the 30th anniversary of ''Gundam'', this kit is designed to closely resemble the anime line art.
Shin_Musha_GundamX.jpg;Shin Musha Gundam;Plamo-Kyoshiro / Dynasty Warriors Gundam 2;¥5,000;2008 June;Uses frame from MG-028 and the body of MG-078. From the ''Plamo-Kyoshiro'' series but with the design based on its appearance on ''Dynasty Warriors Gundam 2''. Water slide decal sheet is sold separately as GD-51. China/Hong Kong release includes a set of flower decals.
Mg-ms06-f.jpg;MS-06F Zaku II Ver.2.0;Mobile Suit Gundam;¥3,500;2008 March;Parts variant of MG-097. Includes parts to convert Zaku Bazooka into Giant Bazooka, and a colony hatch dial piece for Action Base 1 to replicate scene from Gundam Rising, episode 1 of the TV series.
MG_Zaku_Minelayer.jpg;MS-06F Zaku Minelayer;Mobile Suit Variations;¥4,500;2008 March;Parts and color variant of MG-097. Includes Minelayer Backpack. Missile Pods replaced by Mine Pods.
Mg-force-impulse.jpg;ZGMF-X56S/a Force Impulse Gundam;Mobile Suit Gundam SEED Destiny;¥4,500;2008 May;Includes Silhouette Flyer, figurines of Shinn Asuka and Lunamaria Hawke, connector piece which allows compatibility with MG Striker Packs, and a part of Sword Impulse's Excalibur to replicate a scene from Nightmare, episode 34. Water slide decal sheet is sold separately as GD-50. Fully transformable kit.
N/A;MS-06V Zaku Tank;Mobile Suit Variations;N/A;2008 May;Tentative release announced at the 47th Shizuoka Hobby Show 2008 with the prototype model on display. Plans to release this model never went beyond this announcement
Ms-06r1a-mg-shin.jpg;MS-06R-1A Zaku II (Shin Matsunaga Custom) Ver.2.0;Mobile Suit Variations;¥4,500;2008 November;Color variant of MG-103,  redesign of MG-006 with improved articulation and proportions. Includes Shin Matsunaga figurine. Water slide decal sheet is sold separately as GD-56.
Mg-rx-178-aeug-ver2-hdcolor.jpg;RX-178 Gundam Mk-II (A.E.U.G.) Ver.2.0 HD Color;Mobile Suit Zeta Gundam;¥4,000;2008 November;Limited gloss color variant of MG-082. Includes water slide decal sheet. Released to coincide with the Blu-ray release of the ''Zeta Gundam'' TV series.
Mg-rx-178-titans-ver2-hdcolor.jpg;RX-178 Gundam Mk-II (Titans) Ver.2.0 HD Color;Mobile Suit Zeta Gundam;¥4,000;2008 November;Limited gloss color variant of MG-085. Includes water slide decal sheet. Released to coincide with the Blu-ray release of the ''Zeta Gundam'' TV series.
Infinite-justice-mg-art.jpg;ZGMF-X19A 8 Justice Gundam;Mobile Suit Gundam SEED Destiny;¥5,000;2008 October;Includes Athrun Zala figurine. Water slide decal sheet is sold separately as GD-5.
Ms-06r2-mg.jpg;MS-06R-2 Zaku II (Johnny Ridden Custom) Ver.2.0;Mobile Suit Variations;¥4,500;2008 September;Parts and color variant of MG-103,  redesign of MG-007 with improved articulation and proportions. Includes Johnny Ridden figurine. Water slide decal sheet is sold separately as GD-56.
Mg-sf-extra-finish-version.jpg;ZGMF-X20A Strike Freedom Gundam Extra Finish Version;Mobile Suit Gundam SEED Destiny;¥10,000;2008 September;Special metallic color variant of MG-093.
Sword-impulse-morishita.jpg;ZGMF-X56S/ß Sword Impulse Gundam;Mobile Suit Gundam SEED Destiny;¥4,500;2009 April;Color variant of MG-109. Includes two non-articulated hands to hold the Excaliburs. Water slide decal sheet is sold separately as GD-67.
MG_Unicorn_Gundam_Ver._Ka_Titanium_Finish.jpg;"RX-0 Unicorn Gundam ""Ver.Ka"" Titanium Finish";Mobile Suit Gundam Unicorn (Novel);¥8,000;2009 April;Special metallic color variant of MG-102. Includes water slide decal sheet.
MG_Rocket_Bazooka_for_Sinanju_Novel_Special_Edition.jpg;Rocket Bazooka for MSN-06S Sinanju;Mobile Suit Gundam Unicorn (Novel);N/A;2009 April;Kadokawa exclusive accessory kit for MG-116. Bundled with the Limited Edition of ''Mobile Suit Gundam Unicorn'' novel Vol.8.
MG_Impulse_Gundam_Full_Color_Plating_Ver.jpg;ZGMF-X56S Impulse Gundam Full Color Plating Version;Mobile Suit Gundam SEED Destiny;¥6,000;2009 August;Chara Hobby 2009 C3×HOBBY and Gunpla Expo 2009 exclusive color chrome plated variant of MG-109 without the a Force Silhouette pack.
MG_Char's_Zaku_II_2.0_Extra_Finish_Ver.jpg;MS-06S Zaku II (Char Aznable Custom) Ver.2.0 Extra Finish Version;Mobile Suit Gundam;¥6,500;2009 August;Gunpla Big Expo Tokyo 2009 exclusive metallic color variant of MG-098.
MG_Zaku_II_2.0_Extra_Finish_Ver.jpg;MS-06J Zaku II Ver.2.0 (Extra Finish Version);Mobile Suit Gundam;¥6,500;2009 August;Chara Hobby 2009 C3×HOBBY and Gunpla Expo 2009 exclusive metallic color variant of MG-097.
MG_Gundam_Cup_Noodle_Original_Color_Ver..jpg;RX-78-2 Gundam Ver.One Year War 0079 Cup Noodle Original Color Version;Mobile Suit Gundam: The One Year War;N/A;2009 August;Nissin Cup Noodle exclusive color variant of MG-078. Offered as a grand prize in Nissin Cup Noodle's Gundam 30th Anniversary campaign. Limited to 1,000 units.
N/A;GN-001 Gundam Exia Roll Out Color;Mobile Suit Gundam 00;N/A;2009 August;Color variant of MG-123. Originally announced at Gunpla Big Expo Tokyo 2009 as a Bandai Hobby Online Shop exclusive, with the prototype model on display. Plans to release this model never went beyond this announcement.
0161537.jpg;RX-78-3 Gundam Ver.2.0;Mobile Suit Variations;¥4,200;2009 December;Color variant of MG-111,  redesign of MG-004 with improved articulation and proportions.
MG_Char's_Z'Gok_2.0_30th.jpg;MSM-07S Z'Gok (Char Aznable Custom) Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥3,000;2009 December;Limited re-release of MG-066 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Guncannon_30th.jpg;RX-77-2 Guncannon Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥3,000;2009 December;Limited re-release of MG-045 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Char's_Zaku_II_2.0_30th.jpg;MS-06S Zaku II (Char Aznable Custom) Ver.2.0 Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥3,500;2009 December;Limited re-release of MG-098 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_GM_30th.jpg;RGM-79 GM Ver.2.0 Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥3,500;2009 December;Limited re-release of MG-118 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Zaku_II_2.0_30th.jpg;MS-06J Zaku II Ver.2.0 Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥3,500;2009 December;Limited re-release of MG-097 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
Gunpla_MG_ltd_MS07B_ClearParts_box.jpg;MS-07B Gouf Ver.2.0 Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥3,800;2009 December;Limited re-release of MG-120 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Freedom_Gundam_30th.jpg;ZGMF-X10A Freedom Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam SEED;¥3,800;2009 December;Limited re-release of MG-072 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Victory_Gundam_30th.jpg;"LM312V04/06 Victory Gundam ""Ver.Ka"" Gunpla 30th Anniversary Ver.";Mobile Suit Victory Gundam;¥3,800;2009 December;Limited re-release of MG-127 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Wing_Gundam_Zero_30th.jpg;XXXG-00W0 Wing Gundam Zero Gunpla 30th Anniversary Ver.;New Mobile Report Gundam Wing: Endless Waltz;¥3,800;2009 December;Limited re-release of MG-075 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
Mg-vgundam-ka.jpg;"LM312V04/06 Victory Gundam ""Ver.Ka""";Mobile Suit Victory Gundam;¥3,800;2009 December;Includes Üso Ewin (standing and sitting) and Marbet Fingerhat (stting) figurine and an extra Core Fighter ( to create LM312V06 Victory Gundam Hexa. Also includes an extra PE-molded V-fin as a callback to most 1/100 HGVG kits. Water slide decal sheet is sold separately as GD-75. Fully transformable kit. First MG kit to use swappable fingers for hands with an articulated thumb, which would become the standard for MG kits that do not use Emotion Manipulator SP plate runner.
MG_Acguy_30th.jpg;MSM-04 Acguy Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥4,000;2009 December;Limited re-release of MG-080 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Gundam_Mk_II_AEUG_30th.jpg;RX-178 Gundam Mk-II (A.E.U.G.) Ver.2.0 Gunpla 30th Anniversary Ver.;Mobile Suit Zeta Gundam;¥4,000;2009 December;Limited re-release of MG-082 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_ZZ_Gundam_30th.jpg;MSZ-010 ZZ Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam ZZ;¥4,000;2009 December;Limited re-release of MG-026 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_RX-78-2_2.0_30th.jpg;RX-78-2 Gundam Ver.2.0 Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥4,200;2009 December;Limited re-release of MG-111 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Char's_Gelgoog_30th.jpg;MS-14S Gelgoog (Char Aznable Custom) Ver.2.0 Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥4,500;2009 December;Limited re-release of MG-099 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Force_Impulse_Gundam_30th.jpg;ZGMF-X56S/a Force Impulse Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam SEED Destiny;¥4,500;2009 December;Limited re-release of MG-109 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Hyaku_Shiki_30th.jpg;MSN-00100 Hyaku-Shiki Gunpla 30th Anniversary Ver.;Mobile Suit Zeta Gundam;¥4,500;2009 December;Limited re-release of MG-037 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Destiny_Gundam_30th.jpg;ZGMF-X42S Destiny Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam SEED Destiny;¥4,800;2009 December;Limited re-release of MG-101 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Strike_Freedom_Gundam_30th.jpg;ZGMF-X20A Strike Freedom Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam SEED Destiny;¥4,800;2009 December;Limited re-release of MG-093 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Infinite_Justice_Gundam_30th.jpg;ZGMF-X19A 8 Justice Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam SEED Destiny;¥5,000;2009 December;Limited re-release of MG-114 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Nu_Gundam_30th.jpg;RX-93  Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam: Char's Counterattack;¥5,000;2009 December;Limited re-release of MG-034 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
MG_Zeta_Gundam_2.0_30th.jpg;MSZ-006 Zeta Gundam Ver.2.0 Gunpla 30th Anniversary Ver.;Mobile Suit Zeta Gundam;¥5,000;2009 December;Limited re-release of MG-083 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla. 
Ms-06r1-illustration.jpg;MS-06R-1 Zaku II Ver.2.0 (A Baoa Qu Guards Ver.);Mobile Suit Variations;¥5,000;2009 December;Bandai Hobby Proshop exclusive color variant of MG-103. Includes water slide decal sheet.
MG_RX-78-2_2.0_Mechanical_Smoked_Clear_Ver.jpg;RX-78-2 Gundam Ver.2.0 Mechanical Smoked Clear Ver.;Mobile Suit Gundam;N/A;2009 December;Gunpla Expo Hong Kong 2009 exclusive clear armor variant of MG-111. Includes water slide decal sheet.
Mg-rgm-79-ver2.jpg;RGM-79 GM Ver.2.0;Mobile Suit Gundam;¥3,500;2009 February;Parts and color variant of MG-111,  redesign of MG-017 with improved articulation and proportions. Features the option to use two-piece or three-piece front skirt armor. Includes removable cockpit block and Earth Federation pilot figurine. Water slide decal sheet is sold separately as GD-61. Like MG-111, this kit is designed to closely resemble the anime line art and shares the same inner frame and weapon parts.
Mg-msn0100-hd.jpg;MSN-00100 Hyaku-Shiki HD Color;Mobile Suit Zeta Gundam;¥4,800;2009 February;Limited metallic color variant of MG-037, not chrome plated unlike the original kit. Includes water slide decal sheet. Released to coincide with the Blu-ray release of the ''Zeta Gundam'' TV series.
Mg-msz-006-ver2-hdcolor.jpg;MSZ-006 Zeta Gundam Ver.2.0 HD Color;Mobile Suit Zeta Gundam;¥5,000;2009 January;Limited gloss color variant of MG-083. Includes water slide decal sheet. Released to coincide with the Blu-ray release of the ''Zeta Gundam'' TV series. Fully transformable kit.
MG_G-Fighter_Boxart.jpg;G Fighter;Mobile Suit Gundam;¥5,600;2009 January;Accessory kit for MG-111. Includes figurines of Sayla Mass, Sleggar Law, and two hangar crew members. Water slide decal sheet is sold separately as GD-62.
N/A;MS-06M Zaku Marine Type Ver.2.0 Conversion Parts;Mobile Suit Variations;N/A;2009 January;Resin-cast conversion kit for MG-097.
Gunpla_MG_ltd_MS07B3_MSIgloo2_box.jpg;MS-07B-3 Gouf Custom The Gravity Front Image Color Version;Mobile Suit Gundam MS IGLOO 2: The Gravity Front;¥3,000;2009 July;P-Bandai exclusive color variant of MG-036.
Gunpla_MG_ltd_MS06J_MSIgloo2_box.jpg;MS-06J Zaku II The Gravity Front Image Color Version;Mobile Suit Gundam MS IGLOO 2: The Gravity Front;¥3,500;2009 July;P-Bandai exclusive color variant of MG-097.
MG_-_GN-001_-_Gundam_Exia_-_Boxart.jpg;GN-001 Gundam Exia;Mobile Suit Gundam 00;¥3,800;2009 July;Includes Setsuna F. Seiei and Karel figurines, and a display base for the GN Drive. GN Drive accommodates Gunpla LED Unit (sold separately). Water slide decal sheet is sold separately as GD-69. First MG kit from the Anno Domini timeline.
Gunpla_MG_ltd_MS09_MSIgloo2_box.jpg;MS-09 Dom The Gravity Front Image Color Version;Mobile Suit Gundam MS IGLOO 2: The Gravity Front;¥4,000;2009 July;P-Bandai exclusive color variant of MG-021.
Exia-mg-ignition-mode.jpg;GN-001 Gundam Exia Ignition Mode;Mobile Suit Gundam 00;¥6,500;2009 July;MG-123 with additional parts to create GN-001RE Gundam Exia Repair, and silver coated parts on the GN swords. Includes two Gunpla LED Unit Green.
Mg-ms-06j-white-ogre.jpg;"MS-06J Zaku II ""White Ogre""";Mobile Suit Gundam MS IGLOO 2: The Gravity Front;¥3,500;2009 June;Color variant of MG-097. Includes Zaku Bazooka ammo packs.
MG_Aile_Strike_Gundam_+_Bazooka.jpg;GAT-X105 Aile Strike Gundam + Bazooka;Mobile Suit Gundam SEED;¥4,100;2009 June;Limited color variant of MG-065. Includes Bazooka and display base.
MG_Gundam_Ver._2.0_Mechanical_Clear_Ver.jpg;RX-78-2 Gundam Ver.2.0 Mechanical Clear Ver.;Mobile Suit Gundam;¥4,200;2009 June;Bandai Hobby Proshop exclusive clear armor variant of MG-111. Includes water slide decal sheet.
Mg-g-armor-rt.jpg;G-Armor Realtype Color;Mobile Suit Variations;¥9,800;2009 June;Color variant of MG-111 and MG-117. Water slide decal sheet is sold separately as GD-70.
MG_Gundam_Ver._Gundam_Crisis.jpg;RX-78-2 Gundam Ver. Gundam Crisis;Mobile Suit Gundam;¥3,680;2009 March;Fuji-Q Highland exclusive color variant of MG-078.
MG_Strike_Rouge_Clear_Color_Ver.jpg;MBF-02 Strike Rouge Clear Color Version;Mobile Suit Gundam SEED;¥4,000;2009 March;Gunpla Expo 2009 exclusive clear color variant of MG-074
MG_RX-78-2_2.0_Clear_Color_Ver.jpg;RX-78-2 Gundam Ver.2.0 Clear Color Version;Mobile Suit Gundam;¥4,200;2009 March;Gunpla Expo 2009 exclusive clear color variant of MG-111.
MG_Destiny_Gundam_Clear_Color_Ver.jpeg;ZGMF-X42S Destiny Gundam Clear Color Version;Mobile Suit Gundam SEED Destiny;¥4,800;2009 March;Gunpla Expo 2009 exclusive clear color variant of MG-101.
Shin_Musha_Gundam.jpg;Shin Musha Gundam Sengoku no Jin;Plamo-Kyoshiro / Dynasty Warriors Gundam 2;¥8,000;2009 March;Special re-release of MG-110 with diorama base and weapon racks.
Mg-ms-07-ver2.jpg;MS-07B Gouf Ver.2.0;Mobile Suit Gundam;¥3,800;2009 May;Uses the G and H plate runners of MG-097,  redesign of MG-032 with improved articulation and proportions. Includes Ramba Ral and Crowley Hamon figurines. Water slide decal sheet is sold separately as GD-68.
Mg-amx-004mkii-ple.jpg;AMX-004-2 Qubeley Mk-II (Elpeo Ple Custom) ;Mobile Suit Gundam ZZ;¥4,000;2009 November;Color variant of MG-041. Includes 1/20 and 1/100 scale Elpeo Ple figures and custom decals designed by Pepper Shop.
Mg-blue-frame.jpg;MBF-P03R Gundam Astray Blue Frame Second Revise;Mobile Suit Gundam SEED VS Astray;¥4,800;2009 October;Includes Gai Murakumo figurine and blue Action Base 2 with adapter for the Tactical Arms II. Initial releases included an extra runner with adapter parts to fit Striker Packs from the 1/100 Gundam SEED Model Series. Water slide decal sheet is sold separately as GD-74.
Mg-rx-75.jpg;RX-75-4 Guntank;Mobile Suit Gundam;¥4,800;2009 September;Includes one Gunpla LED Unit Green, transformable FF-X7 Core Fighter, and figurines of Hayato Kobayashi, Ryu Jose, Bright Noa and Mirai Yashima. Water slide decal sheet is sold separately as GD-73.
Mg_wing_tv.jpg;XXXG-01W Wing Gundam;Mobile Suit Gundam Wing;¥4,000;2010 April;Includes Heero Yuy (in The Shooting Star She Saw, episode 1 school uniform) figurine. Water slide decal sheet is sold separately as GD-81. Released to commemorate the 15th anniversary of ''Gundam Wing''. Fully transformable kit.
N/A;GNX-604T Advanced GN-X Conversion Parts;Mobile Suit Gundam 00V;¥13,000;2010 August;Resin-cast conversion kit for MG-129.
MG_Char's_Zaku_II_2.0_Clear_Color_Ver.jpg;MS-06S Zaku II (Char Aznable Custom) Ver.2.0 Clear Color Ver.;Mobile Suit Gundam;¥3,500;2010 August;Gunpla Super Expo Tokyo 2010 exclusive clear color variant of MG-098.
MG_Gouf_2.0_Clear_Color_Ver.jpg;MS-07B Gouf Ver.2.0 Clear Color Version;Mobile Suit Gundam;¥3,800;2010 August;Gunpla Super Expo Tokyo 2010 exclusive clear color variant of MG-120.
Destiny_mg_heine.jpg;ZGMF-X42S-REVOLUTION Destiny Gundam (Heine Westenfluss Custom);Mobile Suit Gundam SEED Destiny;¥4,800;2010 August;Gunpla Super Expo Tokyo 2010 exclusive color variant of MG-101. Includes Heine Westenfluss figurine.
MG_Zeta_Gundam_2.0_Extra_Finish_Ver.jpg;MSZ-006 Zeta Gundam Ver.2.0 Extra Finish Ver.;Mobile Suit Zeta Gundam;¥9,000;2010 August;Chara Hobby 2010 C3×HOBBY exclusive metallic color variant of MG-083.
MG_The_O_Boxart.jpg;PMX-003 The-O;Mobile Suit Zeta Gundam;¥12,000;2010 August;Includes Paptimus Scirocco figurine. Water slide decal sheet is sold separately as GD-90. Released to commemorate the 25th anniversary of ''Zeta Gundam''.
MG_Sinanju_Ver._Ka_Titanium_Finish.jpg;"MSN-06S Sinanju ""Ver.Ka"" Titanium Finish";Mobile Suit Gundam Unicorn (Novel);¥12,000;2010 February;Special metallic color variant of MG-116. Includes water slide decal sheet.
MG_Gundam_Astray_Red_Frame_Kai.jpg;MBF-P02Kai Gundam Astray Red Frame ;Mobile Suit Gundam SEED VS Astray;¥5,000;2010 February;Parts and color variant of MG-125. Includes Lowe Guele figurine and red Action Base 2 with adapter for the Tactical Arms IIL.
Mg-exia-trans-am.jpg;GN-001 Gundam Exia (Trans-Am Mode);Mobile Suit Gundam 00;¥5,800;2010 February;Color variant of MG-123.
MG_GN-X.jpg;GNX-603T GN-X;Mobile Suit Gundam 00;¥3,600;2010 January;Uses the F and H plate runners of MG-123. Includes Soma Peries and Sergei Smirnov figurines and a display base for the GN Drive Tau unit. GN Drive Tau accommodates Gunpla LED Unit (sold separately). Water slide decal sheet is sold separately as GD-80.
LM312V04SD-VB03A-verka-mg.jpg;"LM312V04+SD-VB03A V-Dash Gundam ""Ver.Ka""";Mobile Suit Victory Gundam;¥5,800;2010 July;Re-release of MG-127 with parts from MG-135.
LM312V04SD-VB03A-corebooster-verka-mg.jpg;"LM312V04(B-part)+SD-VB03A Core Booster ""Ver.Ka""";Mobile Suit Victory Gundam;¥2,200;2010 July;Accessory kit for MG-127. Contains two Core Fighters: one for Victory Gundam and one for Victory Gundam Hexa. Includes additional weapons and black BA-1 display base.
MG_Musha_Gundam_Mk._II_Tokugawa_Ieyasu_Ver.jpeg;Musha Gundam Mk. II (Tokugawa Ieyasu Ver.);Dynasty Warriors Gundam 2;¥7,000;2010 July;The 49th Shizuoka Hobby Show 2010 and P-Bandai exclusive color variant of MG-133. Includes special decal sheet.
MGBall-Kawaguchi.jpg;RB-79 Ball (Factory Image Color) Katsumi Kawaguchi Produce Version;Mobile Suit Gundam;¥3,000;2010 June;Bandai Hobby Proshop exclusive color variant of MG-076. Includes water slide decal sheet.
MG_FA_78-1_Gundam.jpg;FA-78-1 Full Armor Gundam;Mobile Suit Variations;¥5,000;2010 June;Color variant of MG-111 with additional armor parts, which attach to the kit using double-sided tapes. Water slide decal sheet is sold separately as GD-83.
MG_Mobile_Pod_Ball_Ver_Ka_30th.jpg;"RB-79 Mobile Pod Ball ""Ver.Ka"" Gunpla 30th Anniversary Ver.";Mobile Suit Gundam;¥2,000;2010 March;Limited re-release of MG-076 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_G_Gundam_30th.jpg;GF13-017NJII '''''G''''' Gundam Gunpla 30th Anniversary Ver.;Mobile Fighter G Gundam;¥2,500;2010 March;Limited re-release of MG-044 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
Gunpla_MG_ltd_MS07B3_ClearParts_box.jpg;MS-07B-3 Gouf Custom Gunpla 30th Anniversary Ver.;Mobile Suit Gundam: The 08th MS Team;¥3,000;2010 March;Limited re-release of MG-036 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Gundam_Ground_Type_30th.jpg;Gundam RX-79[G] Gunpla 30th Anniversary Ver.;Mobile Suit Gundam: The 08th MS Team;¥3,000;2010 March;Limited re-release of MG-027 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_RX-78-2_Ver_One_Year_War_0079_30th.jpg;RX-78-2 Gundam Ver.One Year War 0079 Gunpla 30th Anniversary Ver.;Mobile Suit Gundam: The One Year War;¥3,200;2010 March;Limited re-release of MG-078 (Anime Color Ver.) with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Gyan_30th.jpg;YMS-15 Gyan Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥3,600;2010 March;Limited re-release of MG-086 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Aile_Strike_Gundam_30th.jpg;GAT-X105 Aile Strike Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam SEED;¥3,800;2010 March;Limited re-release of MG-065 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Gundam_Exia_30th.jpg;GN-001 Gundam Exia Gunpla 30th Anniversary Ver.;Mobile Suit Gundam 00;¥3,800;2010 March;Limited re-release of MG-123 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Dom_30th.jpg;MS-09 Dom Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥4,000;2010 March;Limited re-release of MG-021 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Kampfer_30th.jpg;MS-18E Kämpfer Gunpla 30th Anniversary Ver.;Mobile Suit Gundam 0080: War in the Pocket;¥4,000;2010 March;Limited re-release of MG-035 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Gundam_Ver_2.0_Titanium_Finish.jpg;RX-78-2 Gundam Ver.2.0 Titanium Finish;Mobile Suit Gundam;¥4,200;2010 March;Limited metallic color variant of MG-111. Released to commemorate the 30th anniversary of Gunpla. Regularly sold worldwide as an annual one-kit batch until 2013.
MG_Crossbone_Gundam_Full_Cloth_30th.jpg;XM-X1 Crossbone Gundam X-1 Full Cloth Gunpla 30th Anniversary Ver.;Mobile Suit Crossbone Gundam: Steel 7;¥4,500;2010 March;Limited re-release of MG-094 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Strike_Noir_30th.jpg;GAT-X105E Strike Noir Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam SEED C.E. 73: STARGAZER;¥4,500;2010 March;Limited re-release of MG-096 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
MG_Guntank_30th.jpg;RX-75-4 Guntank Gunpla 30th Anniversary Ver.;Mobile Suit Gundam;¥4,800;2010 March;Limited re-release of MG-124 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
Red-framekai-mg.jpg;MBF-P02Kai Gundam Astray Red Frame Gunpla 30th Anniversary Ver.;Mobile Suit Gundam SEED VS Astray;¥5,000;2010 March;Limited re-release of MG-130 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
Rx-0-mgboxart.jpg;RX-0 Unicorn Gundam (OVA Ver.);Mobile Suit Gundam Unicorn;¥5,000;2010 March;Parts and color variant of MG-102 with R1 and R2 plate runners for improved knee and waist articulation, plus a new head sculpt. Includes Banagher Links figurine.
MG_Hi_Nu_Gundam_30th.jpg;RX-93-2 Hi- Gundam Gunpla 30th Anniversary Ver.;Mobile Suit Gundam: Char's Counterattack - Beltorchika's Children;¥7,000;2010 March;Limited re-release of MG-095 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
Unicorn-mscage-boxart.jpg;RX-0 Unicorn Gundam HD Color + MS Cage;Mobile Suit Gundam Unicorn;¥7,500;2010 March;Gloss color variant of MG-131 with MS Cage display stand to replicate Day of the Unicorn, episode 1 of the OVA. Includes figurines of Banagher Links (Normal Suit and civilian outfit), Audrey Burne, Marida Cruz (civilian outfit), and Cardeas Vist, as well as the figurines included with MG-131.
MG_Sazabi_30th.jpg;MSN-04 Sazabi Gunpla 30th Anniversary Ver.;Mobile Suit Gundam: Char's Counterattack;¥8,000;2010 March;Limited re-release of MG-029 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.
